tweeted_at,username,tweet,clean_tweet,sentiment
2020-04-11 13:39:58,VionAlonso,@collegemenfess Byk juga yg mau binus 🤣,byk yg mau binus,positive
2020-04-11 13:36:24,Nabila_Alyssa,"@belleetreussie Temenku anak binus, tapi gatau binus manaa",temenku anak binus gatau binus manaa,neutral
2020-04-11 13:35:20,belleetreussie,SIAPA PUNYA KENALAN ANAK BINUS JAKARTA?,siapa punya kenalan anak binus jakarta,neutral
2020-04-11 13:34:49,VionAlonso,@collegemenfess Binus Tel-U LSPR,binus tel lspr,neutral
2020-04-11 13:34:07,dank0ma,@schoolmnfs Telyu menurut aku gak mahal-mahal banget nder kalo bukan kelas internasional. Keunggulan swasta apalagi… https://t.co/h8YtK3NEVj,telyu aku gak mahal mahal banget nder kalo bukan kelas internasional keunggulan swasta,negative
2020-04-11 13:22:31,bukanamore,@collegemenfess binus :D,binus,neutral
2020-04-11 12:47:56,rldursin,"Challenges of home learning during a pandemic through the eyes of a student @BINUS_Simprug #BINUSLeads
https://t.co/nwknoZszCD",challenges of home learning during pandemic through the eyes of student binusleads,neutral
2020-04-11 12:47:24,tmarrafii,@koh_aong @BINUS_UNIV kerjain market gua ong,kerjain market gua ong,neutral
2020-04-11 12:40:20,moondonbelle,Magagamit mo sana to binus kaso pakshet ka eh bubu ampota HAHAHHAHAHAHAHHAHAHAHAHAHHA https://t.co/hkZHAdnYnL,magagamit mo sana to binus kaso pakshet ka eh bubu ampota hahahhahahahahhahahahahahha,neutral
2020-04-11 12:34:46,lveajjiii_,"@collegemenfess Telkom,binus,trisakti",telkom binus trisakti,neutral
2020-04-11 12:26:32,dkfmaekdns__,"anjir binus diketawain, nyeri w 🙁 https://t.co/lTmxgOFsxK",anjir binus diketawain nyeri,neutral
2020-04-11 12:09:33,ApriliaAnjani19,@koh_aong @BINUS_UNIV Knp di tag coba wkwkwkwkwwwkv,knp tag coba wkwkwkwk,neutral
2020-04-11 12:05:42,koh_aong,uts saya copas anak kemanggisan kegep ga yaa?? @BINUS_UNIV,uts copas anak kemanggisan kegep ga yaa,negative
2020-04-11 12:02:23,Lucifer1127,@collegemenfess Binus,binus,neutral
2020-04-11 11:59:50,flerovia,"@ohmybeautybank Kantong mahasiswanya mana nih nder? Mahasiswa UPH, binus, prasmul kan juga sama mahasiswa 🤔",kantong mahasiswanya mana nih nder mahasiswa uph binus prasmul kan sama mahasiswa,positive
2020-04-11 11:52:48,alhaqz,@collegemenfess binus - dkv,binus dkv,neutral
2020-04-11 11:52:36,egaaal2,"@collegemenfess Kl gadapet ptn, Binus,Bisnis digital.",kl gadapet ptn binus bisnis digital,neutral
